seed,x,y,r,f_spiral,f_circles,margin,router_spiral,oracle_spiral,composite_correct,region_match
42,-0.24239,0.14471,0.28230,0.03428,0.04368,-0.90785,0,1,1,0
42,0.15319,0.31527,0.35052,0.03312,0.06404,-1.03642,0,1,1,0
42,-0.02872,-0.33312,0.33436,0.98406,0.03415,0.17729,1,1,1,1
42,-0.16939,0.13984,0.21966,0.03457,0.03553,-0.82223,0,1,1,0
42,-0.10381,0.23909,0.26065,0.03313,0.03597,-0.84459,0,1,1,0
42,0.04635,-0.31948,0.32282,0.98153,0.02743,0.18364,1,1,1,1
42,0.31378,-0.11013,0.33255,0.97568,0.03715,0.17416,1,1,1,1
42,-0.07060,-0.27347,0.28244,0.98122,0.03861,0.17275,1,1,1,1
42,0.35182,0.09893,0.36547,0.09237,0.03566,-0.39510,0,1,1,0
42,-0.14220,0.28890,0.32200,0.03256,0.06818,-1.05493,0,1,1,0
42,-0.07160,0.19925,0.21173,0.03363,0.03593,-0.83804,0,1,1,0
42,0.18443,0.10793,0.21369,0.03917,0.03483,-0.76027,0,1,1,0
42,0.14028,0.05031,0.14903,0.71552,0.03442,-0.04748,0,1,0,0
42,-0.21047,0.31596,0.37964,0.03214,0.06807,-1.05709,0,1,1,0
42,-0.11169,-0.29823,0.31846,0.98386,0.05786,0.14955,1,1,1,1
42,0.25615,0.27875,0.37857,0.03370,0.07321,-1.06412,0,1,1,0
42,0.28277,0.05168,0.28746,0.71773,0.03509,-0.04907,0,1,0,0
42,-0.33763,0.04990,0.34129,0.08045,0.04345,-0.53582,0,1,1,0
42,-0.33329,-0.14839,0.36483,0.96687,0.05792,0.14815,1,1,1,1
42,-0.04383,0.29190,0.29517,0.03279,0.06134,-1.02776,0,1,1,0
42,0.25501,0.23739,0.34840,0.03761,0.03575,-0.78948,0,1,1,0
42,0.23645,-0.21529,0.31978,0.97664,0.03651,0.17482,1,1,1,1
42,0.12038,-0.23101,0.26050,0.98112,0.02770,0.18338,1,1,1,1
42,0.15678,0.15159,0.21808,0.03839,0.03487,-0.76953,0,1,1,0
42,0.23533,0.30196,0.38284,0.03340,0.07341,-1.06636,0,1,1,0
42,0.03245,0.14070,0.14439,0.03462,0.02741,-0.70665,0,1,1,0
42,0.02986,0.02057,0.03626,0.71589,0.02709,-0.02990,0,1,0,0
42,0.30795,-0.01821,0.30849,0.72322,0.03494,-0.04859,0,1,0,0
42,-0.15839,-0.18642,0.24462,0.98067,0.03872,0.17262,1,1,1,1
42,-0.30357,0.19697,0.36187,0.03357,0.04376,-0.91590,0,1,1,0
42,0.08108,-0.13062,0.15374,0.92970,0.02776,0.17190,1,1,1,1
42,0.02456,-0.14151,0.14363,0.92978,0.02761,0.17200,1,1,1,1
42,-0.10829,0.16058,0.19368,0.03394,0.03572,-0.83200,0,1,1,0
42,-0.09002,0.09067,0.12777,0.03480,0.03555,-0.81976,0,1,1,0
42,0.00520,-0.20029,0.20036,0.98087,0.03872,0.17263,1,1,1,1
42,-0.10656,-0.17776,0.20725,0.98065,0.03873,0.17261,1,1,1,1
42,-0.13534,0.36390,0.38825,0.03193,0.06970,-1.06356,0,1,1,0
42,-0.24949,-0.08965,0.26511,0.59907,0.04322,-0.04270,0,1,0,0
42,0.23200,-0.09623,0.25117,0.97545,0.03431,0.17697,1,1,1,1
42,0.21676,-0.11516,0.24545,0.97564,0.03418,0.17710,1,1,1,1
42,-0.28817,-0.13372,0.31768,0.96652,0.04315,0.16778,1,1,1,1
42,0.23642,-0.24616,0.34131,0.98178,0.03644,0.17497,1,1,1,1
42,-0.26765,0.21900,0.34583,0.03346,0.04384,-0.91763,0,1,1,0
42,-0.03079,-0.37984,0.38108,0.98426,0.03901,0.17237,1,1,1,1
42,-0.12857,0.17365,0.21607,0.03373,0.03571,-0.83437,0,1,1,0
42,0.12994,-0.34762,0.37111,0.98172,0.02756,0.18353,1,1,1,1
42,-0.27404,0.16834,0.32162,0.03393,0.04371,-0.91167,0,1,1,0
42,0.24563,-0.10940,0.26889,0.97561,0.03432,0.17696,1,1,1,1
42,-0.09168,-0.37008,0.38127,0.98419,0.05844,0.14878,1,1,1,1
42,0.01618,0.17218,0.17294,0.03420,0.02745,-0.71278,0,1,1,0
42,0.04304,-0.12011,0.12759,0.92846,0.02768,0.17096,1,1,1,1
42,0.02639,0.37414,0.37506,0.03224,0.08958,-1.10928,0,1,1,0
42,0.25064,0.15860,0.29660,0.03870,0.03537,-0.77241,0,1,1,0
42,0.17468,-0.03720,0.17859,0.72245,0.03427,-0.04699,0,1,0,0
42,0.08300,-0.12073,0.14651,0.92902,0.02778,0.17137,1,1,1,1
42,-0.19861,-0.15953,0.25475,0.96770,0.04310,0.16785,1,1,1,1
42,-0.07821,0.06640,0.10260,0.03860,0.03551,-0.77530,0,1,1,0
42,-0.32381,-0.00653,0.32388,0.04696,0.04336,-0.77931,0,1,1,0
42,-0.05843,-0.08572,0.10374,0.92448,0.03888,0.16574,1,1,1,1
42,-0.15906,0.30455,0.34359,0.03237,0.06832,-1.05651,0,1,1,0
42,-0.18648,-0.05840,0.19541,0.59722,0.04328,-0.04148,0,1,0,0
42,-0.36506,-0.03970,0.36721,0.04773,0.04331,-0.77171,0,1,1,0
42,-0.07747,-0.27325,0.28402,0.98122,0.03414,0.17726,1,1,1,1
42,-0.31099,0.17429,0.35650,0.03376,0.04371,-0.91338,0,1,1,0
42,-0.05671,0.15875,0.16858,0.03412,0.03583,-0.83118,0,1,1,0
42,0.34687,0.13031,0.37054,0.09150,0.03578,-0.40007,0,1,1,0
42,-0.21046,-0.25356,0.32952,0.98359,0.05811,0.14919,1,1,1,1
42,-0.00076,-0.15720,0.15720,0.93057,0.03879,0.16853,1,1,1,1
42,-0.14416,-0.30086,0.33361,0.98385,0.05811,0.14920,1,1,1,1
42,-0.05348,0.27907,0.28415,0.03289,0.06103,-1.02576,0,1,1,0
42,0.04016,0.23416,0.23758,0.03360,0.06123,-1.02149,0,1,1,0
42,-0.36104,-0.09832,0.37419,0.59872,0.04322,-0.04247,0,1,0,0
42,0.24740,0.26869,0.36524,0.03378,0.07283,-1.06250,0,1,1,0
42,-0.07176,-0.22591,0.23703,0.98096,0.03867,0.17268,1,1,1,1
42,0.01319,0.20401,0.20443,0.03384,0.06044,-1.01630,0,1,1,0
42,0.18871,0.06101,0.19833,0.71553,0.03467,-0.04810,0,1,0,0
42,0.05817,-0.12271,0.13580,0.92885,0.02771,0.17126,1,1,1,1
42,-0.18888,0.26580,0.32608,0.03264,0.06735,-1.05156,0,1,1,0
42,0.33440,0.16977,0.37502,0.09040,0.03589,-0.40601,0,1,1,0
42,0.33802,-0.19859,0.39204,0.97658,0.07136,0.12821,1,1,1,1
42,-0.19618,0.24220,0.31169,0.03285,0.06687,-1.04863,0,1,1,0
42,0.36329,-0.11111,0.37990,0.97574,0.07179,0.12732,1,1,1,1
42,0.24955,0.16129,0.29713,0.03866,0.03538,-0.77299,0,1,1,0
42,0.21406,-0.33725,0.39945,0.98222,0.06907,0.13294,1,1,1,1
42,0.06518,0.03851,0.07571,0.71516,0.03406,-0.04663,0,1,0,0
42,-0.20467,0.12876,0.24180,0.03457,0.04367,-0.90473,0,1,1,0
42,0.11189,-0.19972,0.22892,0.98094,0.02772,0.18335,1,1,1,1
42,-0.33680,0.15573,0.37106,0.03387,0.04365,-0.91185,0,1,1,0
42,0.10007,-0.05018,0.11194,0.92383,0.03392,0.16588,1,1,1,1
42,-0.02594,-0.20734,0.20895,0.98089,0.03870,0.17265,1,1,1,1
42,-0.17284,-0.23435,0.29119,0.98351,0.05765,0.14982,1,1,1,1
42,-0.36209,0.11400,0.37961,0.03293,0.04357,-0.92089,0,1,1,0
42,-0.16907,0.15481,0.22924,0.03441,0.03557,-0.82464,0,1,1,0
42,0.12494,0.34408,0.36606,0.03277,0.09057,-1.10903,0,1,1,0
42,-0.27915,0.26852,0.38734,0.03298,0.04395,-0.92355,0,1,1,0
42,-0.11198,0.30343,0.32343,0.03251,0.06086,-1.02777,0,1,1,0
42,-0.01949,-0.10213,0.10398,0.92630,0.03887,0.16674,1,1,1,1
42,0.15535,-0.19997,0.25322,0.97642,0.03621,0.17512,1,1,1,1
42,0.27878,-0.21743,0.35354,0.97670,0.07002,0.13042,1,1,1,1
42,-0.02680,-0.25590,0.25730,0.98116,0.03863,0.17272,1,1,1,1
42,0.07173,-0.23992,0.25041,0.98114,0.02758,0.18349,1,1,1,1
42,-0.14490,-0.26378,0.30095,0.98367,0.05775,0.14969,1,1,1,1
42,-0.12532,0.09671,0.15830,0.03520,0.03550,-0.81433,0,1,1,0
42,0.07943,-0.08373,0.11541,0.92620,0.03375,0.16785,1,1,1,1
42,0.12234,0.03446,0.12710,0.71638,0.03428,-0.04715,0,1,0,0
42,-0.12608,0.29890,0.32440,0.03251,0.06065,-1.02687,0,1,1,0
42,0.30542,0.25260,0.39634,0.03412,0.07343,-1.06241,0,1,1,0
42,-0.37795,0.11737,0.39575,0.03285,0.04357,-0.92179,0,1,1,0
42,-0.11380,-0.37856,0.39529,0.98421,0.05868,0.14844,1,1,1,1
42,-0.00825,0.29073,0.29084,0.03290,0.06169,-1.02845,0,1,1,0
42,0.08613,-0.03321,0.09231,0.92223,0.03392,0.16434,1,1,1,1
42,-0.14647,-0.18782,0.23818,0.98068,0.03872,0.17263,1,1,1,1
42,-0.10931,0.27236,0.29347,0.03280,0.06038,-1.02362,0,1,1,0
42,0.15064,0.00882,0.15090,0.71871,0.03432,-0.04720,0,1,0,0
42,0.12083,0.23704,0.26606,0.03382,0.06217,-1.02400,0,1,1,0
42,-0.33688,-0.04613,0.34003,0.04816,0.04329,-0.76761,0,1,1,0
42,0.02458,-0.26279,0.26394,0.98123,0.02746,0.18361,1,1,1,1
42,0.02241,-0.02666,0.03482,0.92075,0.02696,0.16225,1,1,1,1
42,-0.18207,-0.28143,0.33519,0.98374,0.05819,0.14909,1,1,1,1
42,-0.13689,0.20631,0.24759,0.03337,0.03579,-0.83968,0,1,1,0
42,-0.17699,0.15054,0.23235,0.03443,0.03554,-0.82407,0,1,1,0
42,0.19623,0.30326,0.36121,0.03336,0.07279,-1.06475,0,1,1,0
42,-0.02868,-0.09810,0.10221,0.92586,0.03888,0.16652,1,1,1,1
42,-0.06898,-0.24540,0.25491,0.98107,0.03865,0.17271,1,1,1,1
42,-0.14879,0.27538,0.31301,0.03266,0.06787,-1.05323,0,1,1,0
42,-0.33181,-0.08875,0.34348,0.59825,0.04323,-0.04213,0,1,0,0
42,0.15997,-0.25786,0.30345,0.98129,0.03611,0.17530,1,1,1,1
42,-0.06517,0.03501,0.07397,0.08534,0.03545,-0.42413,0,1,1,0
42,-0.14005,-0.29644,0.32786,0.98383,0.05804,0.14930,1,1,1,1
42,0.19026,0.33927,0.38897,0.03299,0.09200,-1.11073,0,1,1,0
42,-0.21728,-0.04668,0.22224,0.39933,0.04329,0.04998,1,1,1,1
42,-0.10635,0.30785,0.32570,0.03248,0.06099,-1.02849,0,1,1,0
42,-0.34860,0.11195,0.36613,0.03299,0.04356,-0.92022,0,1,1,0
42,-0.20480,0.02969,0.20694,0.03891,0.04345,-0.85827,0,1,1,0
42,-0.11577,-0.03019,0.11964,0.91899,0.03895,0.16130,1,1,1,1
42,-0.14255,0.04685,0.15005,0.03574,0.03907,-0.84844,0,1,1,0
42,-0.16110,-0.06121,0.17233,0.92100,0.03889,0.16323,1,1,1,1
42,-0.11574,-0.19253,0.22464,0.98073,0.03871,0.17264,1,1,1,1
42,-0.36885,0.00402,0.36887,0.08134,0.04338,-0.53013,0,1,1,0
42,0.06818,-0.36108,0.36746,0.98422,0.02742,0.18374,1,1,1,1
42,-0.01040,-0.22706,0.22730,0.98101,0.03868,0.17268,1,1,1,1
42,-0.09468,-0.00719,0.09495,0.39121,0.03900,0.05608,1,1,1,1
42,-0.29206,0.14761,0.32724,0.03409,0.04366,-0.90959,0,1,1,0
